"RANK","Bundesliga","GP","Pts","W","D","L","GF","GA","GD","Home","Away","HomeW","HomeD","HomeL","AwayW","AwayD","AwayL"
1,"Bayern Munich MUN",34,88,28,4,2,80,17,63,"15-1-1","13-3-1",15,1,1,13,3,1
2,"Borussia Dortmund DOR",34,78,24,6,4,82,34,48,"14-3-0","10-3-4",14,3,0,10,3,4
3,"Bayer Leverkusen LEV",34,60,18,6,10,56,40,16,"10-3-4","8-3-6",10,3,4,8,3,6
4,"Mönchengladbach BM",34,55,17,4,13,67,50,17,"13-1-3","4-3-10",13,1,3,4,3,10
5,"FC Schalke 04 SKE",34,52,15,7,12,51,49,2,"8-5-4","7-2-8",8,5,4,7,2,8
6,"FSV Mainz 05 MAI",34,50,14,8,12,46,42,4,"8-4-5","6-4-7",8,4,5,6,4,7
7,"Hertha BSC Berlin HB",34,50,14,8,12,42,42,0,"9-5-3","5-3-9",9,5,3,5,3,9
8,"VfL Wolfsburg WOL",34,45,12,9,13,47,49,-2,"9-5-3","3-4-10",9,5,3,3,4,10
9,"1. FC Köln KLN",34,43,10,13,11,38,42,-4,"5-5-7","5-8-4",5,5,7,5,8,4
10,"Hamburger SV HAM",34,41,11,8,15,40,46,-6,"5-4-8","6-4-7",5,4,8,6,4,7
11,"FC Ingolstadt 04 IGT",34,40,10,10,14,33,42,-9,"7-5-5","3-5-9",7,5,5,3,5,9
12,"FC Augsburg AUG",34,38,9,11,14,42,52,-10,"3-6-8","6-5-6",3,6,8,6,5,6
13,"Werder Bremen BRE",34,38,10,8,16,50,65,-15,"5-5-7","5-3-9",5,5,7,5,3,9
14,"Darmstadt DST",34,38,9,11,14,38,53,-15,"2-6-9","7-5-5",2,6,9,7,5,5
15,"1899 Hoffenheim HOF",34,37,9,10,15,39,54,-15,"6-6-5","3-4-10",6,6,5,3,4,10
16,"Eintracht Frankfurt EF",34,36,9,9,16,34,52,-18,"6-6-5","3-3-11",6,6,5,3,3,11
17,"VfB Stuttgart SGT",34,33,9,6,19,50,75,-25,"6-1-10","3-5-9",6,1,10,3,5,9
18,"Hannover 96 HAN",34,25,7,4,23,31,62,-31,"4-0-13","3-4-10",4,0,13,3,4,10
