"Totalpoints","DecathleteName","Nationality","m100","Longjump","Shotput","Highjump","m400","m110hurdles","Discus","Polevault","Javelin","m1500","yearEvent","P100m","Plj","Psp","Phj","P400m","P110h","Ppv","Pdt","Pjt","P1500","RANK"
8677,"Bryan Ezra Clay","USA",10.42,7.67,15.56,2.06,48.87,13.74,52.21,5,66.47,313.47,2006,994,977,824,859,867,1008,910,917,836,485,1
8526,"Roman Sebrle","CZE",10.98,7.72,15.53,2.09,49.11,14.27,45.47,5,66.9,286.91,2006,865,990,822,887,856,940,910,777,842,637,2
8465,"James Edward Hardee","USA",10.35,7.7,14.45,1.99,49.11,13.83,48.24,5.2,60,306.73,2006,1011,985,756,794,856,997,972,834,738,522,3
8438,"Dmitri Karpov","KAZ",10.79,7.72,15.99,2.04,48.5,14.19,47.72,4.9,54.44,283.95,2006,908,990,851,840,885,950,880,823,655,656,4
8416,"Romain Barras","FRA",10.94,7.34,15.03,1.97,48.21,14.13,44.11,5,61.66,261.79,2006,874,896,792,776,899,958,910,749,763,799,5
8390,"Attila Zsivoczky","HUN",10.98,7.01,15.39,2.12,48.84,14.61,47.65,4.8,65.85,274.22,2006,865,816,814,915,869,897,849,822,826,717,6
8350,"Aleksei Drozdov","RUS",11.05,7.26,16.61,2.03,50.27,14.74,48.06,5,61.22,272.93,2006,850,876,889,831,802,881,910,830,756,725,7
8349,"Maurice Smith","JAM",10.69,7.51,16.07,1.91,48.36,14,48.9,4.55,55.54,270.62,2006,931,937,856,723,892,975,775,848,671,741,8
8319,"Thomas Pappas","USA",10.88,7.47,16.53,1.96,48.68,14.32,49.78,5.1,55.68,299.5,2006,888,927,884,767,876,934,941,866,673,563,9
8310,"Dennis Leyckes","GER",10.95,7.07,14.1,2,48.48,14.37,45.36,5.45,60.54,278.93,2006,872,830,734,803,886,927,1051,774,746,687,10
8245,"Aleksandr Pogorelov","RUS",11,7.54,14.84,2.09,50.84,14.44,47.39,5.1,61.38,299.61,2006,861,945,780,887,776,918,941,816,759,562,11
8239,"Andre Niklaus","GER",11.01,6.99,14.28,2.03,49.4,14.28,45.36,5.1,60.8,269.48,2006,858,811,745,831,842,939,941,774,750,748,12
8233,"Stefan Drews","GER",10.7,7.54,13.68,1.88,47.86,14.24,41.67,5.35,50.81,265.6,2006,929,945,709,696,916,944,1020,699,601,774,13
8209,"Pascal Behrenbruch","GER",10.9,6.92,16.15,2,48.48,14.25,45.19,4.6,66.47,286.23,2006,883,795,861,803,886,942,790,771,836,642,14
8143,"Dean Macey","GBR",11.17,7.28,15.83,2.08,49.63,14.94,46.76,4.7,56.93,274.22,2006,823,881,841,878,832,857,819,803,692,717,15
8136,"Aliaksandr Parkhomenka","BLR",11.33,7.13,15.93,2,50.33,14.58,43.99,4.7,66.02,267.99,2006,789,845,847,803,799,901,819,746,829,758,16
8129,"Norman Mueller","GER",10.91,7.52,14.75,1.94,48.32,14.69,42.08,4.65,60.79,270.27,2006,881,940,774,749,894,887,804,707,750,743,17
8111,"Jaakko Ojaniemi","FIN",10.81,7.54,15.33,1.95,50.34,14.89,45.99,4.5,64.69,280.56,2006,903,945,810,758,799,863,760,787,809,677,18
