"RANK","DecathleteName","Nationality","Totalpoints","m100","Longjump","Shotput","Highjump","m400","m110hurdles","Discus","Polevault","Javelin","m1500"
1,"Ashton Eaton","USA",8893,10.46,7.94,14.73,2.01,46.07,13.8,45.49,5.2,59.77,263.33
2,"Kevin Mayer","FRA",8834,10.81,7.6,15.76,2.04,48.28,14.02,46.78,5.4,65.04,265.49
3,"Damian Warner","CAN",8666,10.3,7.67,13.66,2.04,47.35,13.58,44.93,4.7,63.19,264.9
4,"Kai Kazmirek","GER",8580,10.78,7.69,14.2,2.1,46.75,14.62,43.25,5,64.6,271.25
5,"Larbi Bourrada","ALG",8521,10.75,7.52,13.78,2.1,47.98,14.15,42.39,4.6,66.49,254.6
6,"Leonel Suarez","CUB",8460,11.21,7.14,14.27,2.07,48.15,14.48,47.07,4.9,72.32,268.32
7,"Zach Ziemek","USA",8392,10.71,7.49,13.44,2.1,49.83,14.77,49.42,5.2,60.92,282.97
8,"Thomas van der Plaetsen","BEL",8332,11.24,7.66,12.84,2.16,49.63,15.01,43.58,5.4,62.09,274.21
9,"Kurt Felix","GRN",8323,10.93,7.42,14.77,2.07,49.14,14.79,45.1,4.5,69.92,270.53
10,"Luiz Alberto de Araujo","BRA",8315,10.77,7.48,15.26,1.92,48.14,14.17,45.1,4.9,57.28,271.46
11,"Jeremy Taiwo","USA",8300,11.01,7.45,14.92,2.19,48.78,14.57,39.91,5,51.29,261.96
12,"Adam Sebastian Helcelet","CZE",8291,11.06,7.35,15.11,2.04,49.51,14.37,44.13,4.7,68.2,274.41
13,"Bastien Auzeil","FRA",8064,11.17,7.07,15.41,1.98,49.34,14.82,42.23,5.1,61.91,280.5
14,"Cedric Dubler","AUS",8024,10.86,7.47,11.49,2.13,48.18,14.3,38.89,4.9,51.82,272.12
15,"Arthur Abele","GER",8013,10.87,6.97,15.03,1.98,49.02,14.12,44.66,4.5,64.13,293.07
16,"Lindon Victor","GRN",7998,10.83,7.11,14.8,1.98,49.8,15.74,53.24,4.4,63.54,284.73
17,"Pau Tonnesen","SPA",7982,11.32,7.33,13.69,2.01,50.81,14.99,46.31,5.2,60.15,286.27
18,"Yordani Garcia","CUB",7961,10.81,6.83,14.58,2.01,48.69,14.25,40.34,4.5,64.7,284.99
19,"Dominik Distelberger","AUT",7954,10.84,7.33,13.4,1.89,48.61,14.39,38.09,4.8,61.83,273.47
20,"Keisuke Ushiro","JPN",7952,11.3,6.83,14.14,1.98,50.43,15.09,49.9,4.9,66.63,286.33
21,"Pawel Wiesiolek","POL",7784,10.88,6.73,14.17,2.01,50.18,15.09,48.32,4.5,56.68,282.27
22,"Akihiko Nakamura","JPN",7612,11.04,7.13,12,1.92,48.93,14.57,34.91,4.7,51.24,258.37
23,"Karl Robert Saluri","EST",7223,10.82,7.02,13.88,1.77,50.32,16.51,42.96,4.5,46.42,279.4
24,"Maicel Uibo","EST",7170,11.16,7.14,0,2.13,51.08,14.84,37.69,5.1,60.52,287.49
