"Team","MatchesPlayed","Goalsfor","Goalsscored","GoalsAgainst","Penaltygoal","OwngoalsFor","OpenPlayGoals","SetPieceGoals","RANK"
"Belgium",7,16,15,6,1,1,14,1,1
"France",7,14,12,6,3,2,9,3,2
"Croatia",7,14,13,9,1,1,12,1,3
"England",7,12,12,8,3,0,8,4,4
"Russia",5,11,10,7,1,1,8,2,5
"Brazil",5,8,8,3,0,0,8,0,6
"Uruguay",5,7,6,3,0,1,5,1,7
"Spain",4,7,6,6,0,1,6,0,8
"Colombia",4,6,6,3,0,0,5,1,9
"Sweden",5,6,5,4,2,1,3,2,10
"Portugal",4,6,6,6,1,0,4,2,11
"Japan",4,6,6,7,1,0,5,1,12
"Argentina",4,6,6,9,0,0,6,0,13
"Switzerland",4,5,5,5,0,0,5,0,14
"Tunisia",3,5,5,8,1,0,4,1,15
"Senegal",3,4,3,4,0,1,3,0,16
"Denmark",4,3,3,2,0,0,3,0,17
"Korea Republic",3,3,3,3,0,0,3,0,18
"Nigeria",3,3,3,4,1,0,2,1,19
"Mexico",4,3,3,6,1,0,2,1,20
"Iran",3,2,1,2,1,1,0,1,21
"Peru",3,2,2,2,0,0,2,0,22
"Morocco",3,2,2,4,0,0,2,0,23
"Germany",3,2,2,4,0,0,2,0,24
"Serbia",3,2,2,4,0,0,1,1,25
"Costa Rica",3,2,1,5,0,1,1,0,26
"Iceland",3,2,2,5,1,0,1,1,27
"Poland",3,2,2,5,0,0,2,0,28
"Australia",3,2,2,5,2,0,0,2,29
"Egypt",3,2,2,6,1,0,1,1,30
"Saudi Arabia",3,2,2,7,1,0,1,1,31
"Panama",3,2,1,11,0,1,1,0,32
