"Teams","MatchesPlayed","Goalsfor","Goalsscored","GoalsAgainst","Penaltygoal","OwngoalsFor","OpenPlayGoals","SetPieceGoals","RANK"
"England",7,23,23,6,2,0,19,4,1
"Spain",7,17,16,10,2,1,15,2,2
"Mali",7,16,16,11,0,0,16,0,3
"France",4,15,13,5,0,2,14,1,4
"Brazil",7,14,14,5,0,0,13,1,5
"Iran",5,13,13,5,4,0,9,4,6
"USA",5,11,11,7,1,0,10,1,7
"Paraguay",4,10,10,10,1,0,7,3,8
"Germany",5,10,10,8,2,0,8,2,9
"Japan",4,8,8,4,1,0,7,1,10
"Ghana",5,8,8,3,2,0,6,2,11
"Honduras",4,7,7,14,0,0,6,1,12
"Colombia",4,5,5,7,0,0,4,1,13
"Iraq",4,5,4,10,0,1,4,1,14
"Guinea",3,4,4,8,0,0,4,0,15
"New Zealand",3,4,2,8,0,2,3,1,16
"Mexico",4,4,4,6,0,0,4,0,17
"Costa Rica",3,3,3,7,0,0,3,0,18
"Turkey",3,2,2,7,0,0,2,0,19
"New Caledonia",3,2,2,13,0,0,2,0,20
"India",3,1,1,9,0,0,1,0,21
"Niger",4,1,1,8,0,0,1,0,22
