"id","name","distance","stars","CertificateExcellence","TravellersChoice","EcoAward","n_pictures","n_rooms","airport","berlin","duesseldorf","frankfurt","hamburg","muenchen","p_avg","recommendation_percent","RANK","ausgezeichnet","sehrgut","befriedigend","mangelhaft","ungenuegend","families","couples","singles","business","location","sleep","room","service","costbenefit","cleanliness","n_rating","rating_overall","rating_overall_computed"
504,"Breidenbacher Hof a Capella Hotel",0.2,5,0,1,0,114,95,0,0,1,0,0,0,252,94,1,235,27,10,2,4,30,110,34,87,5,5,5,4.5,4.5,5,278,5,4.751798561
605,"Hotel Villa Achenbach",2.3,4,0,1,0,55,20,0,0,1,0,0,0,119,93,2,129,25,9,0,1,19,68,13,45,5,4.5,5,4.5,4.5,5,164,4.5,4.713414634
593,"Hyatt Regency Dusseldorf",1.9,5,1,0,0,244,303,0,0,1,0,0,0,336.5,91,4,249,94,26,6,1,25,88,18,198,4.5,4.5,4.5,4.5,4,5,376,4.5,4.553191489
642,"Van der Valk Airporthotel Duesseldorf",6.4,4.5,1,0,0,116,149,1,0,1,0,0,0,144,94,5,160,66,7,5,1,30,66,10,105,4.5,4,5,4.5,4.5,4.5,239,4.5,4.585774059
585,"Hotel Indigo Duesseldorf - Victoriaplatz",1.6,4,0,0,0,49,126,0,0,1,0,0,0,117,92,8,48,23,5,1,0,8,13,3,45,4.5,4,4.5,4.5,4,5,77,4.5,4.532467532
599,"Auszeit Hotel Duesseldorf",2.1,4,1,0,0,162,54,0,0,1,0,0,0,94,92,9,113,81,9,2,3,16,72,32,48,4,3.5,4.5,4.5,4.5,4.5,208,4.5,4.4375
635,"Avidon Art & Design Hotel",5.8,4,1,0,0,34,33,0,0,1,0,0,0,150,85,10,43,30,9,2,1,7,16,9,43,4.5,4,4.5,4.5,4.5,4.5,85,4.5,4.317647059
507,"Hotel Favor",0.3,4,1,0,0,47,30,0,0,1,0,0,0,169,90,11,46,26,6,1,1,7,26,5,29,5,4.5,4.5,4.5,4,5,80,4.5,4.4375
595,"Mercure Duesseldorf Hafen",2,4,1,0,0,61,160,0,0,1,0,0,0,111,89,13,159,164,39,4,3,32,142,26,119,4,4,4.5,4.5,4,4.5,369,4.5,4.279132791
596,"Radisson Blu Media Harbour Hotel Duesseldorf",2,4,1,0,0,56,135,0,0,1,0,0,0,210,90,14,131,126,24,6,1,21,76,37,142,4.5,4,4.5,4.5,4,4.5,288,4.5,4.319444444
587,"Lessing Hotel",1.7,4,1,0,0,29,30,0,0,1,0,0,0,85,93,15,32,23,4,0,0,9,16,4,19,4.5,4,4.5,4.5,4.5,4.5,59,4.5,4.474576271
612,"Villa Viktoria",2.8,4,1,0,0,40,40,0,0,1,0,0,0,108.875,89,16,50,24,8,1,0,15,27,8,27,4.5,3.5,4.5,4.5,4.5,4.5,83,4.5,4.481927711
588,"Hotel National",1.7,3.5,0,0,0,8,31,0,0,1,0,0,0,93,94,19,17,19,3,0,0,1,13,3,14,4.5,4,4,4.5,4.5,4.5,39,4.5,4.358974359
638,"Maritim Hotel Duesseldorf",5.9,4.5,1,0,0,201,533,0,0,1,0,0,0,129,86,20,239,217,47,22,6,54,100,53,293,4.5,4.5,4.5,4,4,4.5,531,4,4.244821092
566,"Excelsior Hotel Duesseldorf",1.2,3.5,1,0,0,45,65,0,0,1,0,0,0,112,92,21,66,82,13,1,1,26,50,8,42,4.5,4.5,4,4.5,4.5,4.5,163,4.5,4.294478528
560,"Melia Duesseldorf",1.1,4.5,1,0,0,106,201,0,0,1,0,0,0,158.222229,84,23,147,149,47,8,4,18,123,27,151,4.5,4.5,4.5,4,4,4.5,355,4,4.202816901
567,"Derag Livinghotel Duesseldorf",1.2,4,1,0,0,56,160,0,0,1,0,0,0,89,89,24,47,69,7,2,4,13,31,12,49,4,4,4.5,4.5,4.5,4.5,129,4,4.186046512
652,"Das Mutterhaus Hotel & Tagungszentrum",8.8,3.5,0,0,0,9,55,0,0,1,0,0,0,93,100,27,11,15,1,0,0,1,1,1,23,4.5,4,4.5,4,4,4.5,27,4.5,4.37037037
552,"Burns Art & Culture Apartments",1,4,1,0,0,8,26,0,0,1,0,0,0,115,88,28,29,33,8,2,0,4,22,5,35,4,4,4.5,4,4,4.5,72,4,4.236111111
620,"Mercure Hotel Duesseldorf Seestern",3.4,4,0,0,0,25,160,0,0,1,0,0,0,123.14286,81,29,37,79,18,3,4,7,28,23,82,4,3.5,4,4,4,4.5,141,4,4.007092199
