"A","K","Q","J","T","9","8","7","6","5","4","3","2","s","Wins_percent","Ties_percent","Total_percent","RANK"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,30.98,0.7,31.68,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,25.82,0.67,26.49,2
0,0,2,0,0,0,0,0,0,0,0,0,0,0,21.89,0.83,22.72,3
1,1,0,0,0,0,0,0,0,0,0,0,0,1,19.27,2.74,22.01,4
0,0,0,2,0,0,0,0,0,0,0,0,0,0,18.91,1,19.91,5
1,0,1,0,0,0,0,0,0,0,0,0,0,1,17.74,3,20.74,6
0,1,1,0,0,0,0,0,0,0,0,0,0,1,17.12,2.77,19.89,7
0,0,0,0,2,0,0,0,0,0,0,0,0,0,16.66,1.17,17.83,8
1,0,0,1,0,0,0,0,0,0,0,0,0,1,16.61,3.25,19.86,9
0,1,0,1,0,0,0,0,0,0,0,0,0,1,16.07,3.01,19.08,10
1,1,0,0,0,0,0,0,0,0,0,0,0,0,15.76,2.83,18.59,11
1,0,0,0,1,0,0,0,0,0,0,0,0,1,15.73,3.49,19.22,12
0,0,1,1,0,0,0,0,0,0,0,0,0,1,15.68,3.03,18.71,13
0,1,0,0,1,0,0,0,0,0,0,0,0,1,15.28,3.24,18.52,14
0,0,0,0,0,2,0,0,0,0,0,0,0,0,15.19,0.92,16.11,15
0,0,1,0,1,0,0,0,0,0,0,0,0,1,14.98,3.25,18.23,16
0,0,0,1,1,0,0,0,0,0,0,0,0,1,14.97,3.32,18.29,17
0,0,0,0,0,0,2,0,0,0,0,0,0,0,14.11,0.92,15.03,18
1,0,1,0,0,0,0,0,0,0,0,0,0,0,14,3.12,17.12,19
1,0,0,0,0,1,0,0,0,0,0,0,0,1,13.84,3.41,17.25,20
0,1,1,0,0,0,0,0,0,0,0,0,0,0,13.55,2.87,16.42,21
0,0,0,0,1,1,0,0,0,0,0,0,0,1,13.41,3.18,16.59,22
0,1,0,0,0,1,0,0,0,0,0,0,0,1,13.37,3.04,16.41,23
0,0,0,0,0,0,0,2,0,0,0,0,0,0,13.29,0.91,14.2,24
1,0,0,0,0,0,1,0,0,0,0,0,0,1,13.19,3.56,16.75,25
0,0,0,1,0,1,0,0,0,0,0,0,0,1,13.14,3.07,16.21,26
0,0,1,0,0,1,0,0,0,0,0,0,0,1,13.1,3.02,16.12,27
1,0,0,0,0,0,0,0,0,1,0,0,0,1,12.88,3.87,16.75,28
1,0,0,0,0,0,0,0,0,0,1,0,0,1,12.73,3.69,16.42,29
1,0,0,0,0,0,0,1,0,0,0,0,0,1,12.69,3.68,16.37,30
