"RANK","Teams","Matches_Total","Matches_Won","Matches_Lost","X3.0","X3.1","X3.2","X2.3","X1.3","X0.3","Points","Sets_Won","Sets_Lost","Sets_Ration","Points_Won","Points_Lost","Points_Ratio"
1,"Germany",6,5,1,3,2,0,0,1,0,15,16,5,3.2,522,439,1.189
2,"Spain",6,5,1,2,2,1,0,0,1,14,15,7,2.142,516,474,1.088
3,"Estonia",6,5,1,3,0,2,0,1,0,13,16,7,2.285,526,441,1.192
4,"Austria",6,4,2,1,2,1,0,1,1,11,13,10,1.3,536,455,1.178
5,"Tunisia",6,4,2,0,2,2,1,1,0,11,15,12,1.25,596,561,1.062
6,"Montenegro",6,3,3,1,1,1,1,1,1,9,12,12,1,507,511,0.992
7,"Qatar",6,3,3,2,1,0,0,1,2,9,10,10,1,464,484,0.958
8,"Chinese Taipei",6,2,4,0,2,0,2,2,0,8,12,14,0.857,555,584,0.95
9,"Mexico",6,2,4,1,1,0,2,0,2,8,10,13,0.769,498,513,0.97
10,"Venezuela",6,2,4,1,1,0,0,2,2,6,8,13,0.615,408,519,0.786
11,"Kazakhstan",6,1,5,0,1,0,0,3,2,3,6,16,0.375,452,531,0.851
12,"Greece",6,0,6,0,0,0,1,2,3,1,4,18,0.222,468,536,0.873
