"correct","wrong","V3","V4","V5","V6","V7","unanswered","V9","V10","RANK"
49,0,6,13,7,1,1,1,4,4,1
49,0,19,4,41,1,0,1,4,5,2
49,0,23,32,25,0,1,1,5,5,3
48,0,18,50,33,1,1,2,5,1,4
48,2,18,27,24,1,0,0,4,2,5
48,2,3,7,34,0,1,0,5,3,6
47,3,17,37,48,1,1,0,5,1,7
46,2,23,48,17,0,1,2,1,2,8
46,3,33,17,15,1,1,1,1,1,9
45,1,1,29,38,1,1,4,1,2,10
45,2,32,31,16,1,0,3,1,5,11
44,3,6,43,17,0,0,3,1,2,12
43,0,42,43,12,1,0,7,3,5,13
42,0,48,13,3,1,0,8,5,2,14
42,2,50,30,1,1,0,6,4,1,15
42,3,20,22,50,0,1,5,2,2,16
43,6,31,27,28,1,0,1,5,1,17
42,4,21,29,41,1,1,4,3,1,18
43,7,24,12,18,0,0,0,5,1,19
40,0,40,50,27,1,0,10,4,1,20
40,2,42,44,37,0,1,8,5,2,21
41,6,1,48,40,0,0,3,5,1,22
40,6,47,26,4,1,1,4,3,5,23
41,9,10,12,32,0,1,0,3,3,24
39,7,45,45,37,0,0,4,3,4,25
40,10,9,21,42,1,1,0,1,1,26
37,6,22,46,13,1,0,7,1,2,27
35,2,37,34,49,0,0,13,5,4,28
38,12,5,16,15,0,1,0,5,2,29
33,0,36,4,47,1,1,17,4,4,30
36,9,28,35,4,1,0,5,4,3,31
36,11,11,42,25,0,0,3,1,3,32
32,1,42,31,9,1,1,17,5,5,33
34,8,10,24,38,1,1,8,2,2,34
30,3,37,18,17,1,0,17,1,5,35
32,10,7,50,15,0,1,8,5,2,36
33,16,14,15,25,0,0,1,4,5,37
28,2,49,3,29,1,0,20,4,1,38
28,3,41,14,36,1,0,19,1,4,39
25,0,44,20,23,1,0,25,5,5,40
30,16,16,4,47,1,1,4,5,1,41
26,7,24,13,20,1,1,17,5,2,42
29,18,44,42,4,0,0,3,1,1,43
25,8,36,15,18,0,0,17,5,3,44
26,13,30,37,25,0,0,11,2,3,45
24,8,40,2,29,0,0,18,4,5,46
22,2,26,35,35,1,1,26,3,2,47
23,6,10,1,4,1,1,21,2,1,48
26,21,32,33,29,1,1,3,2,3,49
26,22,27,42,9,0,0,2,1,2,50
20,5,45,11,26,1,0,25,5,3,51
18,2,14,30,16,0,1,30,5,2,52
24,22,30,24,14,1,0,4,4,5,53
20,12,50,37,22,0,1,18,2,1,54
19,14,7,43,26,0,0,17,2,3,55
18,12,26,50,6,1,0,20,1,5,56
19,17,33,32,48,1,0,14,4,3,57
13,0,5,5,33,1,1,37,1,4,58
17,12,35,8,6,1,0,21,2,1,59
21,26,6,50,47,1,0,3,3,1,60
21,27,38,27,45,1,1,2,1,2,61
16,13,2,2,32,1,0,21,2,5,62
16,14,17,4,45,1,0,20,5,2,63
12,7,18,32,42,1,1,31,3,4,64
19,29,12,44,46,1,1,2,3,2,65
12,9,23,27,3,0,1,29,5,4,66
11,9,41,40,10,0,1,30,4,5,67
10,7,48,39,15,1,0,33,3,5,68
8,1,27,36,1,0,0,41,2,4,69
14,22,26,37,14,0,0,14,1,5,70
11,14,43,46,22,1,0,25,4,4,71
16,29,40,44,19,0,1,5,3,3,72
10,14,30,43,28,1,0,26,5,4,73
8,10,34,13,43,1,0,32,2,4,74
11,21,4,8,1,1,0,18,1,1,75
3,2,1,21,47,0,1,45,4,5,76
4,6,19,28,22,1,1,40,5,3,77
10,26,48,19,9,0,0,14,1,4,78
7,18,44,33,41,1,1,25,4,2,79
8,22,27,16,18,0,1,20,1,1,80
4,10,10,2,49,1,0,36,4,3,81
4,11,48,36,39,0,1,35,3,4,82
2,6,15,5,43,0,0,42,1,1,83
9,27,31,42,44,0,1,14,2,3,84
7,24,4,47,11,1,1,19,1,5,85
2,11,28,46,19,0,1,37,5,4,86
9,36,15,46,13,0,0,5,4,2,87
5,27,2,7,25,0,1,18,5,4,88
1,17,28,29,26,1,1,32,1,1,89
7,35,40,27,2,1,1,8,4,2,90
2,21,40,43,16,0,0,27,1,4,91
1,19,46,24,23,0,0,30,3,4,92
6,35,45,30,11,0,0,9,5,5,93
8,42,30,46,45,1,0,0,2,1,94
4,36,49,40,5,1,0,10,4,4,95
5,40,25,40,16,0,1,5,3,2,96
6,44,45,31,12,0,0,0,1,4,97
5,42,41,26,30,0,1,3,4,2,98
1,30,21,23,14,0,1,19,1,3,99
2,39,49,24,7,1,0,9,1,4,100
