"correct","wrong","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","unanswered","V14","V15","V16","V17","RANK"
47,3,8,22,45,50,44,2,0,1,0,0,0,2,5,3,4,1
46,1,35,3,49,49,46,15,0,0,1,1,3,5,5,4,2,2
46,2,5,28,30,13,44,50,0,1,0,0,2,5,5,4,4,3
46,3,23,18,9,10,9,50,0,0,0,1,1,5,5,5,4,4
45,0,23,10,24,30,21,21,1,1,1,0,5,5,2,2,5,5
45,1,2,4,2,48,10,12,1,0,0,1,4,3,2,2,3,6
44,0,28,45,36,31,28,28,0,1,0,0,6,3,5,1,3,7
44,2,15,27,13,27,13,5,0,1,1,0,4,5,5,4,5,8
44,2,39,2,31,42,37,49,1,0,1,0,4,3,3,3,3,9
43,1,6,47,43,50,17,41,1,0,1,0,6,1,5,3,4,10
44,4,2,22,41,1,42,48,1,0,1,0,2,5,4,4,2,11
43,3,44,40,6,9,8,26,1,0,0,1,4,2,1,4,4,12
42,1,21,18,22,2,8,35,1,0,0,0,7,5,2,4,4,13
42,3,3,19,31,10,37,33,0,1,0,1,5,4,4,2,4,14
40,0,12,31,1,9,38,12,1,1,1,1,10,3,1,5,1,15
42,7,49,23,41,4,46,48,0,0,0,1,1,3,4,4,5,16
40,1,45,8,37,34,12,30,0,1,0,0,9,3,3,4,4,17
42,8,2,18,26,44,43,34,1,0,0,1,0,5,3,2,2,18
40,2,26,42,39,44,17,36,1,1,1,1,8,4,2,5,4,19
38,0,6,8,27,49,12,3,1,0,1,0,12,3,3,3,1,20
39,4,50,49,35,32,46,42,1,1,1,0,7,5,1,4,4,21
37,0,6,19,12,42,46,44,0,0,1,1,13,1,2,5,5,22
39,6,39,21,34,49,39,48,0,0,1,0,5,2,1,1,1,23
39,9,18,8,45,42,47,47,0,0,0,1,2,5,3,2,3,24
33,4,8,26,17,23,15,37,0,1,0,1,13,1,1,2,3,25
32,1,25,7,7,20,18,22,0,1,1,0,17,2,4,4,5,26
33,5,43,10,37,34,6,41,0,1,0,0,12,3,1,4,5,27
31,0,4,47,13,33,9,18,0,0,0,0,19,4,4,5,2,28
31,3,10,50,10,34,23,36,1,1,0,1,16,3,3,1,2,29
33,10,13,10,46,13,50,15,1,0,0,1,7,1,2,5,2,30
33,10,31,11,37,45,45,32,0,0,1,0,7,3,4,2,1,31
30,1,29,38,7,11,28,29,1,1,1,0,19,1,1,4,3,32
32,9,15,39,19,31,38,18,0,1,0,1,9,3,4,5,1,33
31,7,33,4,20,26,46,18,1,1,1,0,12,1,4,5,3,34
30,7,37,11,7,13,14,31,1,1,1,0,13,4,4,3,5,35
30,9,14,3,48,16,45,6,0,0,1,0,11,1,3,2,2,36
31,12,6,21,32,12,30,5,1,0,1,0,7,5,2,5,2,37
32,15,37,49,11,31,28,41,1,1,1,1,3,3,5,3,2,38
31,16,44,8,37,4,35,50,0,0,1,1,3,4,2,1,3,39
28,9,21,25,2,8,26,44,0,0,1,1,13,1,3,1,1,40
25,0,22,5,23,7,43,38,1,1,1,0,25,1,2,5,3,41
31,19,48,25,12,7,17,1,0,1,1,1,0,4,5,4,5,42
25,1,1,7,46,34,37,30,1,1,0,0,24,3,3,2,4,43
31,19,10,27,5,37,36,12,1,0,0,0,0,4,2,2,4,44
29,13,35,6,43,30,38,14,0,0,1,0,8,1,5,4,2,45
27,9,24,7,37,35,11,14,1,1,1,0,14,4,3,5,4,46
24,1,2,33,8,21,7,31,1,0,1,0,25,3,2,4,5,47
28,13,38,30,35,48,7,11,1,0,1,0,9,1,4,3,3,48
28,16,50,35,18,42,29,45,1,0,0,0,6,4,5,5,4,49
22,1,48,49,50,19,14,10,1,1,0,1,27,5,5,3,1,50
25,11,18,36,48,2,30,22,0,1,1,0,14,3,1,2,5,51
28,21,3,48,17,29,37,35,0,1,0,0,1,2,3,5,1,52
28,21,34,17,45,34,41,19,1,1,1,1,1,1,2,1,4,53
22,4,7,44,41,11,26,47,1,1,1,1,24,5,4,5,3,54
21,1,30,8,1,21,39,50,0,0,1,0,28,3,4,5,4,55
25,15,21,22,25,41,40,31,0,1,0,0,10,5,5,4,3,56
26,19,5,3,50,49,4,3,1,0,1,1,5,1,3,1,2,57
22,8,48,26,10,34,16,47,1,0,0,0,20,2,2,1,2,58
22,8,44,38,27,36,20,19,0,1,1,0,20,2,5,5,5,59
21,5,20,25,32,2,5,38,1,0,0,0,24,4,4,2,4,60
24,16,20,23,14,33,16,49,0,0,1,1,10,4,4,3,1,61
25,19,37,14,17,22,44,38,0,1,1,1,6,3,5,5,1,62
21,11,22,44,15,33,7,41,1,1,1,0,18,4,3,4,4,63
24,20,30,18,15,42,14,28,0,1,1,1,6,1,5,1,5,64
23,20,11,13,27,20,5,23,1,1,0,1,7,4,2,2,1,65
17,3,18,27,35,5,36,35,1,1,1,0,30,5,2,2,4,66
22,19,44,41,12,39,9,22,1,1,0,0,9,4,2,1,3,67
23,23,2,10,24,11,12,10,1,0,1,0,4,2,1,5,5,68
17,6,27,41,34,49,30,5,1,1,1,0,27,4,1,5,4,69
15,2,18,41,33,39,11,28,0,1,0,1,33,3,3,4,5,70
15,2,46,45,29,24,40,2,1,1,1,1,33,2,2,5,2,71
22,24,32,50,50,23,33,16,0,0,0,0,4,3,2,3,3,72
20,21,31,11,38,50,17,1,1,0,1,1,9,4,3,3,5,73
20,27,26,33,17,14,21,40,1,1,1,1,3,1,2,3,3,74
19,26,33,12,42,39,48,11,0,0,1,0,5,2,4,2,3,75
13,12,6,1,44,47,3,30,1,0,0,0,25,3,1,1,4,76
16,25,8,20,24,22,6,16,1,1,0,0,9,1,1,2,2,77
9,5,4,40,40,16,21,30,0,0,0,1,36,4,3,4,1,78
8,2,27,10,24,43,19,38,1,0,1,0,40,4,3,4,2,79
7,2,47,32,2,37,24,44,1,0,1,1,41,4,5,4,3,80
12,24,47,2,15,34,10,2,0,1,0,1,14,1,1,5,1,81
10,19,24,17,46,43,22,40,1,1,0,0,21,1,1,2,5,82
5,6,12,47,13,26,35,27,0,0,0,1,39,2,1,1,3,83
5,7,46,30,42,5,42,42,1,1,1,0,38,5,4,3,5,84
11,26,15,49,2,12,12,23,0,0,0,1,13,2,4,4,3,85
13,34,1,16,49,50,38,35,0,1,0,0,3,1,4,1,2,86
13,34,7,43,9,18,29,24,0,1,1,1,3,5,5,2,1,87
8,23,11,45,38,15,16,43,1,0,0,0,19,2,3,4,4,88
1,2,32,21,23,48,36,18,0,0,0,1,47,2,3,4,3,89
6,17,19,10,42,5,31,6,1,0,0,1,27,4,1,2,3,90
6,22,22,5,33,50,45,26,0,1,0,0,22,1,1,4,2,91
11,39,13,50,7,49,5,42,1,1,1,0,0,4,3,1,1,92
4,25,47,34,15,19,6,43,0,1,0,0,21,2,1,3,4,93
2,21,3,21,43,43,41,37,0,1,0,1,27,5,2,4,1,94
7,39,40,20,46,30,2,31,0,0,1,1,4,3,2,5,2,95
5,37,50,41,3,3,17,35,1,1,1,0,8,5,4,5,4,96
3,32,20,30,45,4,21,41,1,0,0,0,15,4,1,1,1,97
4,35,49,29,34,17,27,15,0,0,0,0,11,1,5,2,4,98
3,35,10,15,8,8,50,17,0,0,1,1,12,4,3,3,1,99
5,44,7,19,6,34,26,44,0,1,0,1,1,4,4,4,2,100
